"Participante","Canal","EpocaMOR","NumEpoca","Valido","Estacionario","Grupo","Etapa","Indice","Particiopante"
0,"Fp2",0,0,1,1,0,0,1,2
0,"Fp2",0,0,1,0,0,0,2,2
0,"Fp2",0,0,1,1,0,0,3,2
0,"Fp2",0,0,1,1,0,0,4,2
0,"Fp2",0,0,1,1,0,0,5,2
0,"Fp2",0,0,1,0,0,0,6,2
0,"Fp2",0,0,1,0,0,0,7,2
0,"Fp2",0,0,1,1,0,0,8,2
0,"Fp2",0,0,1,1,0,0,9,2
0,"Fp2",0,0,1,1,0,0,10,2
0,"Fp2",0,0,1,1,0,1,11,2
0,"Fp2",0,0,1,1,0,1,12,2
0,"Fp2",0,0,1,1,0,1,13,2
0,"Fp2",0,0,1,1,0,1,14,2
0,"Fp2",0,0,1,1,0,1,15,2
0,"Fp2",0,0,1,1,0,1,16,2
0,"Fp2",0,0,1,1,0,1,17,2
0,"Fp2",0,0,1,1,0,1,18,2
0,"Fp2",0,0,1,1,0,1,19,2
0,"Fp2",0,0,1,0,0,1,20,2
0,"Fp2",0,0,1,0,0,1,21,2
0,"Fp2",0,0,1,0,0,1,22,2
0,"Fp2",0,0,1,1,0,1,23,2
0,"Fp2",0,0,1,1,0,1,24,2
0,"Fp2",0,0,1,1,0,1,25,2
0,"Fp2",0,0,1,1,0,1,26,2
0,"Fp2",0,0,1,1,0,1,27,2
0,"Fp2",0,0,1,1,0,1,28,2
0,"Fp2",0,0,1,1,0,1,29,2
0,"Fp2",0,0,1,1,0,1,30,2
0,"Fp2",0,0,1,1,0,1,31,2
0,"Fp2",0,0,1,1,0,1,32,2
0,"Fp2",0,0,1,1,0,1,33,2
0,"Fp2",0,0,1,1,0,1,34,2
0,"Fp2",0,0,1,1,0,1,35,2
0,"Fp2",0,0,1,1,0,1,36,2
0,"Fp2",0,0,1,1,0,1,37,2
0,"Fp2",0,0,1,1,0,1,38,2
0,"Fp2",0,0,1,1,0,1,39,2
0,"Fp2",0,0,1,1,0,1,40,2
0,"Fp1",0,0,1,1,0,0,1,2
0,"Fp1",0,0,1,0,0,0,2,2
0,"Fp1",0,0,1,1,0,0,3,2
0,"Fp1",0,0,1,1,0,0,4,2
0,"Fp1",0,0,1,1,0,0,5,2
0,"Fp1",0,0,1,0,0,0,6,2
0,"Fp1",0,0,1,1,0,0,7,2
0,"Fp1",0,0,1,0,0,0,8,2
0,"Fp1",0,0,1,1,0,0,9,2
0,"Fp1",0,0,1,1,0,0,10,2
0,"Fp1",0,0,1,1,0,1,11,2
0,"Fp1",0,0,1,1,0,1,12,2
0,"Fp1",0,0,1,1,0,1,13,2
0,"Fp1",0,0,1,1,0,1,14,2
0,"Fp1",0,0,1,1,0,1,15,2
0,"Fp1",0,0,1,1,0,1,16,2
0,"Fp1",0,0,1,1,0,1,17,2
0,"Fp1",0,0,1,1,0,1,18,2
0,"Fp1",0,0,1,1,0,1,19,2
0,"Fp1",0,0,1,1,0,1,20,2
0,"Fp1",0,0,1,1,0,1,21,2
0,"Fp1",0,0,1,1,0,1,22,2
0,"Fp1",0,0,1,1,0,1,23,2
0,"Fp1",0,0,1,1,0,1,24,2
0,"Fp1",0,0,1,1,0,1,25,2
0,"Fp1",0,0,1,1,0,1,26,2
0,"Fp1",0,0,1,1,0,1,27,2
0,"Fp1",0,0,1,1,0,1,28,2
0,"Fp1",0,0,1,1,0,1,29,2
0,"Fp1",0,0,1,1,0,1,30,2
