"Participante","Canal","EpocaMOR","NumEpoca","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
9,1,0,0,10,10,1,0,1
9,1,0,0,10,10,1,1,1
9,2,0,0,10,10,1,0,1
9,2,0,0,10,10,1,1,1
9,3,0,0,10,9,1,0,0.9
9,3,0,0,10,10,1,1,1
9,4,0,0,10,9,1,0,0.9
9,4,0,0,10,10,1,1,1
9,5,0,0,10,9,1,0,0.9
9,5,0,0,10,10,1,1,1
9,6,0,0,10,9,1,0,0.9
9,6,0,0,10,10,1,1,1
9,7,0,0,10,8,1,0,0.8
9,7,0,0,10,9,1,1,0.9
9,8,0,0,10,9,1,0,0.9
9,8,0,0,10,9,1,1,0.9
9,9,0,0,10,10,1,0,1
9,9,0,0,10,10,1,1,1
9,10,0,0,10,9,1,0,0.9
9,10,0,0,10,8,1,1,0.8
9,11,0,0,10,9,1,0,0.9
9,11,0,0,10,10,1,1,1
9,12,0,0,10,10,1,0,1
9,12,0,0,10,10,1,1,1
9,13,0,0,10,10,1,0,1
9,13,0,0,10,10,1,1,1
9,14,0,0,10,10,1,0,1
9,14,0,0,10,9,1,1,0.9
9,15,0,0,10,10,1,0,1
9,15,0,0,10,10,1,1,1
9,16,0,0,10,10,1,0,1
9,16,0,0,10,10,1,1,1
9,17,0,0,10,10,1,0,1
9,17,0,0,10,9,1,1,0.9
9,18,0,0,10,10,1,0,1
9,18,0,0,10,10,1,1,1
9,19,0,0,10,9,1,0,0.9
9,19,0,0,10,10,1,1,1
9,20,0,0,10,9,1,0,0.9
9,20,0,0,10,10,1,1,1
9,21,0,0,10,10,1,0,1
9,21,0,0,10,10,1,1,1
9,22,0,0,10,9,1,0,0.9
9,22,0,0,10,10,1,1,1
