"Participante","Canal","EpocaMOR","NumEpoca","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
4,1,0,0,20,20,0,0,1
4,1,0,0,20,20,0,1,1
4,2,0,0,20,19,0,0,0.95
4,2,0,0,20,20,0,1,1
4,3,0,0,20,20,0,0,1
4,3,0,0,20,20,0,1,1
4,4,0,0,20,14,0,0,0.7
4,4,0,0,20,13,0,1,0.65
4,5,0,0,20,20,0,0,1
4,5,0,0,20,20,0,1,1
4,6,0,0,20,16,0,0,0.8
4,6,0,0,20,20,0,1,1
4,7,0,0,20,16,0,0,0.8
4,7,0,0,20,14,0,1,0.7
4,8,0,0,20,17,0,0,0.85
4,8,0,0,20,20,0,1,1
4,9,0,0,20,20,0,0,1
4,9,0,0,20,19,0,1,0.95
4,10,0,0,20,20,0,0,1
4,10,0,0,20,17,0,1,0.85
4,11,0,0,20,14,0,0,0.7
4,11,0,0,0,0,0,1,NA
4,12,0,0,20,20,0,0,1
4,12,0,0,20,20,0,1,1
4,13,0,0,20,18,0,0,0.9
4,13,0,0,20,18,0,1,0.9
4,14,0,0,20,20,0,0,1
4,14,0,0,20,20,0,1,1
4,15,0,0,20,13,0,0,0.65
4,15,0,0,20,18,0,1,0.9
4,16,0,0,20,18,0,0,0.9
4,16,0,0,20,18,0,1,0.9
4,17,0,0,20,16,0,0,0.8
4,17,0,0,20,20,0,1,1
4,18,0,0,20,16,0,0,0.8
4,18,0,0,20,18,0,1,0.9
4,19,0,0,20,16,0,0,0.8
4,19,0,0,20,20,0,1,1
4,20,0,0,20,20,0,0,1
4,20,0,0,20,18,0,1,0.9
4,21,0,0,20,20,0,0,1
4,21,0,0,20,20,0,1,1
4,22,0,0,20,20,0,0,1
4,22,0,0,0,0,0,1,NA
