"Participante","Canal","EpocaMOR","NumEpoca","Valido","Estacionario","Grupo","Etapa","Indice"
8,"Fp2",0,0,1,1,1,0,1
8,"Fp2",0,0,1,1,1,0,2
8,"Fp2",0,0,1,1,1,0,3
8,"Fp2",0,0,1,1,1,0,4
8,"Fp2",0,0,1,1,1,0,5
8,"Fp2",0,0,1,1,1,0,6
8,"Fp2",0,0,1,1,1,0,7
8,"Fp2",0,0,1,1,1,0,8
8,"Fp2",0,0,1,1,1,0,9
8,"Fp2",0,0,1,1,1,0,10
8,"Fp2",0,0,1,1,1,1,11
8,"Fp2",0,0,1,1,1,1,12
8,"Fp2",0,0,1,1,1,1,13
8,"Fp2",0,0,1,1,1,1,14
8,"Fp2",0,0,1,1,1,1,15
8,"Fp2",0,0,1,1,1,1,16
8,"Fp2",0,0,1,1,1,1,17
8,"Fp2",0,0,1,1,1,1,18
8,"Fp2",0,0,1,1,1,1,19
8,"Fp2",0,0,1,1,1,1,20
8,"Fp2",0,0,1,1,1,1,21
8,"Fp2",0,0,1,1,1,1,22
8,"Fp2",0,0,1,1,1,1,23
8,"Fp2",0,0,1,1,1,1,24
8,"Fp2",0,0,1,1,1,1,25
8,"Fp2",0,0,1,0,1,1,26
8,"Fp2",0,0,1,0,1,1,27
8,"Fp2",0,0,1,0,1,1,28
8,"Fp2",0,0,1,1,1,1,29
8,"Fp2",0,0,1,1,1,1,30
8,"Fp2",0,0,1,1,1,1,31
8,"Fp2",0,0,1,1,1,1,32
8,"Fp2",0,0,1,1,1,1,33
8,"Fp2",0,0,1,1,1,1,34
8,"Fp2",0,0,1,1,1,1,35
8,"Fp2",0,0,1,1,1,1,36
8,"Fp2",0,0,1,1,1,1,37
8,"Fp2",0,0,1,1,1,1,38
8,"Fp2",0,0,1,1,1,1,39
8,"Fp2",0,0,1,1,1,1,40
8,"Fp1",0,0,1,1,1,0,1
8,"Fp1",0,0,1,1,1,0,2
8,"Fp1",0,0,1,1,1,0,3
8,"Fp1",0,0,1,1,1,0,4
8,"Fp1",0,0,1,1,1,0,5
8,"Fp1",0,0,1,1,1,0,6
8,"Fp1",0,0,1,1,1,0,7
8,"Fp1",0,0,1,1,1,0,8
8,"Fp1",0,0,1,1,1,0,9
8,"Fp1",0,0,1,1,1,0,10
8,"Fp1",0,0,1,1,1,1,11
8,"Fp1",0,0,1,1,1,1,12
8,"Fp1",0,0,1,1,1,1,13
8,"Fp1",0,0,1,1,1,1,14
8,"Fp1",0,0,1,1,1,1,15
8,"Fp1",0,0,1,1,1,1,16
8,"Fp1",0,0,1,1,1,1,17
8,"Fp1",0,0,1,1,1,1,18
8,"Fp1",0,0,1,1,1,1,19
8,"Fp1",0,0,1,1,1,1,20
8,"Fp1",0,0,1,1,1,1,21
8,"Fp1",0,0,1,1,1,1,22
8,"Fp1",0,0,1,1,1,1,23
8,"Fp1",0,0,1,1,1,1,24
8,"Fp1",0,0,1,1,1,1,25
8,"Fp1",0,0,1,1,1,1,26
8,"Fp1",0,0,1,1,1,1,27
8,"Fp1",0,0,1,1,1,1,28
8,"Fp1",0,0,1,1,1,1,29
8,"Fp1",0,0,1,1,1,1,30
8,"Fp1",0,0,1,1,1,1,31
8,"Fp1",0,0,1,1,1,1,32
8,"Fp1",0,0,1,1,1,1,33
8,"Fp1",0,0,1,1,1,1,34
8,"Fp1",0,0,1,1,1,1,35
8,"Fp1",0,0,1,1,1,1,36
8,"Fp1",0,0,1,1,1,1,37
8,"Fp1",0,0,1,1,1,1,38
8,"Fp1",0,0,1,1,1,1,39
8,"Fp1",0,0,1,1,1,1,40
8,"F8",0,0,1,1,1,0,1
8,"F8",0,0,1,1,1,0,2
8,"F8",0,0,1,1,1,0,3
8,"F8",0,0,1,1,1,0,4
8,"F8",0,0,1,1,1,0,5
8,"F8",0,0,1,1,1,0,6
8,"F8",0,0,1,1,1,0,7
8,"F8",0,0,1,1,1,0,8
8,"F8",0,0,1,1,1,0,9
8,"F8",0,0,1,1,1,0,10
8,"F8",0,0,1,1,1,1,11
8,"F8",0,0,1,1,1,1,12
8,"F8",0,0,1,1,1,1,13
8,"F8",0,0,1,1,1,1,14
8,"F8",0,0,1,1,1,1,15
8,"F8",0,0,1,1,1,1,16
8,"F8",0,0,1,1,1,1,17
8,"F8",0,0,1,1,1,1,18
8,"F8",0,0,1,1,1,1,19
8,"F8",0,0,1,1,1,1,20
8,"F8",0,0,1,1,1,1,21
8,"F8",0,0,1,1,1,1,22
8,"F8",0,0,1,1,1,1,23
8,"F8",0,0,1,1,1,1,24
8,"F8",0,0,1,1,1,1,25
8,"F8",0,0,1,0,1,1,26
8,"F8",0,0,1,0,1,1,27
8,"F8",0,0,1,0,1,1,28
8,"F8",0,0,1,1,1,1,29
8,"F8",0,0,1,1,1,1,30
8,"F8",0,0,1,1,1,1,31
8,"F8",0,0,1,1,1,1,32
8,"F8",0,0,1,1,1,1,33
8,"F8",0,0,1,1,1,1,34
8,"F8",0,0,1,1,1,1,35
8,"F8",0,0,1,1,1,1,36
8,"F8",0,0,1,1,1,1,37
8,"F8",0,0,1,1,1,1,38
8,"F8",0,0,1,1,1,1,39
8,"F8",0,0,1,1,1,1,40
8,"F7",0,0,1,1,1,0,1
8,"F7",0,0,1,1,1,0,2
8,"F7",0,0,1,1,1,0,3
8,"F7",0,0,1,1,1,0,4
8,"F7",0,0,1,1,1,0,5
8,"F7",0,0,1,1,1,0,6
8,"F7",0,0,1,1,1,0,7
8,"F7",0,0,1,1,1,0,8
8,"F7",0,0,1,1,1,0,9
8,"F7",0,0,1,1,1,0,10
8,"F7",0,0,1,1,1,1,11
8,"F7",0,0,1,1,1,1,12
8,"F7",0,0,1,1,1,1,13
8,"F7",0,0,1,1,1,1,14
8,"F7",0,0,1,1,1,1,15
8,"F7",0,0,1,1,1,1,16
8,"F7",0,0,1,1,1,1,17
8,"F7",0,0,1,1,1,1,18
8,"F7",0,0,1,1,1,1,19
8,"F7",0,0,1,1,1,1,20
8,"F7",0,0,1,1,1,1,21
8,"F7",0,0,1,1,1,1,22
8,"F7",0,0,1,1,1,1,23
8,"F7",0,0,1,1,1,1,24
8,"F7",0,0,1,1,1,1,25
8,"F7",0,0,1,1,1,1,26
8,"F7",0,0,1,1,1,1,27
8,"F7",0,0,1,1,1,1,28
8,"F7",0,0,1,1,1,1,29
8,"F7",0,0,1,1,1,1,30
8,"F7",0,0,1,1,1,1,31
8,"F7",0,0,1,1,1,1,32
8,"F7",0,0,1,1,1,1,33
8,"F7",0,0,1,1,1,1,34
8,"F7",0,0,1,1,1,1,35
8,"F7",0,0,1,1,1,1,36
8,"F7",0,0,1,1,1,1,37
8,"F7",0,0,1,1,1,1,38
8,"F7",0,0,1,1,1,1,39
8,"F7",0,0,1,1,1,1,40
8,"F4",0,0,1,1,1,0,1
8,"F4",0,0,1,1,1,0,2
8,"F4",0,0,1,1,1,0,3
8,"F4",0,0,1,1,1,0,4
8,"F4",0,0,1,1,1,0,5
8,"F4",0,0,1,1,1,0,6
8,"F4",0,0,1,1,1,0,7
8,"F4",0,0,1,1,1,0,8
8,"F4",0,0,1,1,1,0,9
8,"F4",0,0,1,1,1,0,10
8,"F4",0,0,1,1,1,1,11
8,"F4",0,0,1,1,1,1,12
8,"F4",0,0,1,1,1,1,13
8,"F4",0,0,1,1,1,1,14
8,"F4",0,0,1,1,1,1,15
8,"F4",0,0,1,1,1,1,16
8,"F4",0,0,1,1,1,1,17
8,"F4",0,0,1,1,1,1,18
8,"F4",0,0,1,1,1,1,19
8,"F4",0,0,1,1,1,1,20
8,"F4",0,0,1,1,1,1,21
8,"F4",0,0,1,1,1,1,22
8,"F4",0,0,1,1,1,1,23
8,"F4",0,0,1,1,1,1,24
8,"F4",0,0,1,1,1,1,25
8,"F4",0,0,1,1,1,1,26
8,"F4",0,0,1,1,1,1,27
8,"F4",0,0,1,1,1,1,28
8,"F4",0,0,1,1,1,1,29
8,"F4",0,0,1,1,1,1,30
8,"F4",0,0,1,1,1,1,31
8,"F4",0,0,1,0,1,1,32
8,"F4",0,0,1,0,1,1,33
8,"F4",0,0,1,0,1,1,34
8,"F4",0,0,1,1,1,1,35
8,"F4",0,0,1,1,1,1,36
8,"F4",0,0,1,1,1,1,37
8,"F4",0,0,1,0,1,1,38
8,"F4",0,0,1,0,1,1,39
8,"F4",0,0,1,0,1,1,40
8,"F3",0,0,1,1,1,0,1
8,"F3",0,0,1,1,1,0,2
8,"F3",0,0,1,1,1,0,3
8,"F3",0,0,1,1,1,0,4
8,"F3",0,0,1,1,1,0,5
8,"F3",0,0,1,1,1,0,6
8,"F3",0,0,1,1,1,0,7
8,"F3",0,0,1,1,1,0,8
8,"F3",0,0,1,1,1,0,9
8,"F3",0,0,1,1,1,0,10
8,"F3",0,0,1,1,1,1,11
8,"F3",0,0,1,1,1,1,12
8,"F3",0,0,1,1,1,1,13
8,"F3",0,0,1,1,1,1,14
8,"F3",0,0,1,1,1,1,15
8,"F3",0,0,1,1,1,1,16
8,"F3",0,0,1,1,1,1,17
8,"F3",0,0,1,1,1,1,18
8,"F3",0,0,1,1,1,1,19
8,"F3",0,0,1,1,1,1,20
8,"F3",0,0,1,1,1,1,21
8,"F3",0,0,1,1,1,1,22
8,"F3",0,0,1,1,1,1,23
8,"F3",0,0,1,1,1,1,24
8,"F3",0,0,1,1,1,1,25
8,"F3",0,0,1,1,1,1,26
8,"F3",0,0,1,1,1,1,27
8,"F3",0,0,1,1,1,1,28
8,"F3",0,0,1,1,1,1,29
8,"F3",0,0,1,1,1,1,30
8,"F3",0,0,1,1,1,1,31
8,"F3",0,0,1,1,1,1,32
8,"F3",0,0,1,1,1,1,33
8,"F3",0,0,1,1,1,1,34
