"Participante","Canal","EpocaMOR","NumEpoca","Valido","Estacionario","Grupo","Etapa","Indice"
7,"Fp2",0,0,1,1,1,0,1
7,"Fp2",0,0,1,1,1,0,2
7,"Fp2",0,0,1,1,1,0,3
7,"Fp2",0,0,1,1,1,0,4
7,"Fp2",0,0,1,1,1,0,5
7,"Fp2",0,0,1,0,1,0,6
7,"Fp2",0,0,1,1,1,0,7
7,"Fp2",0,0,1,1,1,0,8
7,"Fp2",0,0,1,0,1,0,9
7,"Fp2",0,0,1,1,1,0,10
7,"Fp2",0,0,1,0,1,1,11
7,"Fp2",0,0,1,1,1,1,12
7,"Fp2",0,0,1,1,1,1,13
7,"Fp2",0,0,1,1,1,1,14
7,"Fp2",0,0,1,1,1,1,15
7,"Fp2",0,0,1,1,1,1,16
7,"Fp2",0,0,1,1,1,1,17
7,"Fp2",0,0,1,1,1,1,18
7,"Fp2",0,0,1,1,1,1,19
7,"Fp2",0,0,1,1,1,1,20
7,"Fp1",0,0,0,0,1,0,1
7,"Fp1",0,0,0,0,1,0,2
7,"Fp1",0,0,0,0,1,0,3
7,"Fp1",0,0,0,0,1,0,4
7,"Fp1",0,0,0,0,1,0,5
7,"Fp1",0,0,0,0,1,0,6
7,"Fp1",0,0,0,0,1,0,7
7,"Fp1",0,0,0,0,1,0,8
7,"Fp1",0,0,0,0,1,0,9
7,"Fp1",0,0,0,0,1,0,10
7,"Fp1",0,0,0,0,1,1,11
7,"Fp1",0,0,0,0,1,1,12
7,"Fp1",0,0,0,0,1,1,13
7,"Fp1",0,0,0,0,1,1,14
7,"Fp1",0,0,0,0,1,1,15
7,"Fp1",0,0,0,0,1,1,16
7,"Fp1",0,0,0,0,1,1,17
7,"Fp1",0,0,0,0,1,1,18
7,"Fp1",0,0,0,0,1,1,19
7,"Fp1",0,0,0,0,1,1,20
7,"F8",0,0,1,1,1,0,1
7,"F8",0,0,1,1,1,0,2
7,"F8",0,0,1,1,1,0,3
7,"F8",0,0,1,1,1,0,4
7,"F8",0,0,1,0,1,0,5
7,"F8",0,0,1,0,1,0,6
7,"F8",0,0,1,1,1,0,7
7,"F8",0,0,1,0,1,0,8
7,"F8",0,0,1,1,1,0,9
7,"F8",0,0,1,1,1,0,10
7,"F8",0,0,1,0,1,1,11
7,"F8",0,0,1,0,1,1,12
7,"F8",0,0,1,0,1,1,13
7,"F8",0,0,1,0,1,1,14
7,"F8",0,0,1,1,1,1,15
7,"F8",0,0,1,1,1,1,16
7,"F8",0,0,1,0,1,1,17
7,"F8",0,0,1,1,1,1,18
7,"F8",0,0,1,0,1,1,19
7,"F8",0,0,1,0,1,1,20
7,"F7",0,0,1,1,1,0,1
7,"F7",0,0,1,1,1,0,2
7,"F7",0,0,1,0,1,0,3
7,"F7",0,0,1,0,1,0,4
7,"F7",0,0,1,1,1,0,5
7,"F7",0,0,1,1,1,0,6
7,"F7",0,0,1,1,1,0,7
7,"F7",0,0,1,0,1,0,8
7,"F7",0,0,1,0,1,0,9
7,"F7",0,0,1,1,1,0,10
7,"F7",0,0,1,1,1,1,11
7,"F7",0,0,1,1,1,1,12
7,"F7",0,0,1,1,1,1,13
7,"F7",0,0,1,1,1,1,14
7,"F7",0,0,1,1,1,1,15
7,"F7",0,0,1,1,1,1,16
7,"F7",0,0,1,1,1,1,17
7,"F7",0,0,1,1,1,1,18
7,"F7",0,0,1,1,1,1,19
7,"F7",0,0,1,1,1,1,20
7,"F4",0,0,1,1,1,0,1
7,"F4",0,0,1,1,1,0,2
7,"F4",0,0,1,1,1,0,3
7,"F4",0,0,1,0,1,0,4
7,"F4",0,0,1,1,1,0,5
7,"F4",0,0,1,1,1,0,6
7,"F4",0,0,1,1,1,0,7
7,"F4",0,0,1,0,1,0,8
7,"F4",0,0,1,0,1,0,9
7,"F4",0,0,1,0,1,0,10
7,"F4",0,0,1,1,1,1,11
7,"F4",0,0,1,1,1,1,12
7,"F4",0,0,1,0,1,1,13
7,"F4",0,0,1,1,1,1,14
7,"F4",0,0,1,0,1,1,15
7,"F4",0,0,1,1,1,1,16
7,"F4",0,0,1,1,1,1,17
7,"F4",0,0,1,1,1,1,18
7,"F4",0,0,1,0,1,1,19
7,"F4",0,0,1,1,1,1,20
7,"F3",0,0,1,1,1,0,1
7,"F3",0,0,1,1,1,0,2
7,"F3",0,0,1,1,1,0,3
7,"F3",0,0,1,0,1,0,4
7,"F3",0,0,1,0,1,0,5
7,"F3",0,0,1,0,1,0,6
7,"F3",0,0,1,0,1,0,7
7,"F3",0,0,1,0,1,0,8
7,"F3",0,0,1,0,1,0,9
7,"F3",0,0,1,0,1,0,10
7,"F3",0,0,1,1,1,1,11
7,"F3",0,0,1,0,1,1,12
7,"F3",0,0,1,1,1,1,13
7,"F3",0,0,1,1,1,1,14
7,"F3",0,0,1,1,1,1,15
7,"F3",0,0,1,0,1,1,16
7,"F3",0,0,1,0,1,1,17
7,"F3",0,0,1,1,1,1,18
7,"F3",0,0,1,0,1,1,19
7,"F3",0,0,1,1,1,1,20
7,"T4",0,0,1,1,1,0,1
7,"T4",0,0,1,0,1,0,2
7,"T4",0,0,1,0,1,0,3
7,"T4",0,0,1,1,1,0,4
7,"T4",0,0,1,0,1,0,5
7,"T4",0,0,1,0,1,0,6
7,"T4",0,0,1,0,1,0,7
7,"T4",0,0,1,0,1,0,8
7,"T4",0,0,1,0,1,0,9
7,"T4",0,0,1,0,1,0,10
7,"T4",0,0,1,1,1,1,11
7,"T4",0,0,1,0,1,1,12
7,"T4",0,0,1,0,1,1,13
7,"T4",0,0,1,1,1,1,14
7,"T4",0,0,1,1,1,1,15
7,"T4",0,0,1,0,1,1,16
7,"T4",0,0,1,0,1,1,17
7,"T4",0,0,1,0,1,1,18
7,"T4",0,0,1,0,1,1,19
7,"T4",0,0,1,1,1,1,20
7,"T3",0,0,1,1,1,0,1
