"Participante","Canal","EpocaMOR","NumEpoca","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
6,1,0,0,10,9,1,0,0.9
6,1,0,0,10,9,1,1,0.9
6,2,0,0,10,9,1,0,0.9
6,2,0,0,10,7,1,1,0.7
6,3,0,0,10,8,1,0,0.8
6,3,0,0,10,8,1,1,0.8
6,4,0,0,10,7,1,0,0.7
6,4,0,0,10,6,1,1,0.6
6,5,0,0,10,8,1,0,0.8
6,5,0,0,10,6,1,1,0.6
6,6,0,0,10,8,1,0,0.8
6,6,0,0,10,6,1,1,0.6
6,7,0,0,10,6,1,0,0.6
6,7,0,0,10,6,1,1,0.6
6,8,0,0,10,9,1,0,0.9
6,8,0,0,10,8,1,1,0.8
6,9,0,0,10,10,1,0,1
6,9,0,0,10,4,1,1,0.4
6,10,0,0,10,6,1,0,0.6
6,10,0,0,10,8,1,1,0.8
6,11,0,0,10,7,1,0,0.7
6,11,0,0,10,9,1,1,0.9
6,12,0,0,10,10,1,0,1
6,12,0,0,10,10,1,1,1
6,13,0,0,10,10,1,0,1
6,13,0,0,10,10,1,1,1
6,14,0,0,10,10,1,0,1
6,14,0,0,10,10,1,1,1
6,15,0,0,10,10,1,0,1
6,15,0,0,10,9,1,1,0.9
6,16,0,0,10,10,1,0,1
6,16,0,0,10,10,1,1,1
6,17,0,0,10,10,1,0,1
6,17,0,0,10,10,1,1,1
6,18,0,0,10,10,1,0,1
6,18,0,0,10,10,1,1,1
6,19,0,0,10,10,1,0,1
6,19,0,0,10,10,1,1,1
6,20,0,0,10,10,1,0,1
6,20,0,0,10,10,1,1,1
6,21,0,0,10,10,1,0,1
6,21,0,0,10,10,1,1,1
6,22,0,0,10,10,1,0,1
6,22,0,0,10,8,1,1,0.8
