"Participante","Canal","EpocaMOR","NumEpoca","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
3,1,0,0,10,10,0,0,1
3,1,0,0,10,10,0,1,1
3,2,0,0,10,10,0,0,1
3,2,0,0,10,9,0,1,0.9
3,3,0,0,10,10,0,0,1
3,3,0,0,10,10,0,1,1
3,4,0,0,10,10,0,0,1
3,4,0,0,10,9,0,1,0.9
3,5,0,0,10,10,0,0,1
3,5,0,0,10,9,0,1,0.9
3,6,0,0,10,10,0,0,1
3,6,0,0,10,10,0,1,1
3,7,0,0,10,10,0,0,1
3,7,0,0,10,10,0,1,1
3,8,0,0,10,10,0,0,1
3,8,0,0,10,10,0,1,1
3,9,0,0,10,8,0,0,0.8
3,9,0,0,10,9,0,1,0.9
3,10,0,0,10,9,0,0,0.9
3,10,0,0,10,8,0,1,0.8
3,11,0,0,10,9,0,0,0.9
3,11,0,0,10,10,0,1,1
3,12,0,0,10,10,0,0,1
3,12,0,0,10,10,0,1,1
3,13,0,0,10,10,0,0,1
3,13,0,0,10,10,0,1,1
3,14,0,0,10,10,0,0,1
3,14,0,0,10,10,0,1,1
3,15,0,0,10,10,0,0,1
3,15,0,0,10,10,0,1,1
3,16,0,0,10,10,0,0,1
3,16,0,0,10,9,0,1,0.9
3,17,0,0,10,10,0,0,1
3,17,0,0,10,10,0,1,1
3,18,0,0,10,10,0,0,1
3,18,0,0,10,10,0,1,1
3,19,0,0,10,10,0,0,1
3,19,0,0,10,10,0,1,1
3,20,0,0,10,8,0,0,0.8
3,20,0,0,10,10,0,1,1
3,21,0,0,10,10,0,0,1
3,21,0,0,10,10,0,1,1
3,22,0,0,10,9,0,0,0.9
3,22,0,0,10,10,0,1,1
