"Participante","Canal","EpocaMOR","NumEpoca","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
2,1,0,0,10,7,0,0,0.7
2,1,0,0,10,7,0,1,0.7
2,2,0,0,10,6,0,0,0.6
2,2,0,0,10,5,0,1,0.5
2,3,0,0,10,4,0,0,0.4
2,3,0,0,10,5,0,1,0.5
2,4,0,0,10,6,0,0,0.6
2,4,0,0,10,4,0,1,0.4
2,5,0,0,10,6,0,0,0.6
2,5,0,0,10,7,0,1,0.7
2,6,0,0,10,7,0,0,0.7
2,6,0,0,10,5,0,1,0.5
2,7,0,0,10,6,0,0,0.6
2,7,0,0,10,6,0,1,0.6
2,8,0,0,10,5,0,0,0.5
2,8,0,0,10,8,0,1,0.8
2,9,0,0,10,7,0,0,0.7
2,9,0,0,10,6,0,1,0.6
2,10,0,0,10,6,0,0,0.6
2,10,0,0,10,2,0,1,0.2
2,11,0,0,10,5,0,0,0.5
2,11,0,0,10,9,0,1,0.9
2,12,0,0,10,9,0,0,0.9
2,12,0,0,10,9,0,1,0.9
2,13,0,0,10,9,0,0,0.9
2,13,0,0,10,9,0,1,0.9
2,14,0,0,10,6,0,0,0.6
2,14,0,0,10,8,0,1,0.8
2,15,0,0,10,6,0,0,0.6
2,15,0,0,10,7,0,1,0.7
2,16,0,0,10,9,0,0,0.9
2,16,0,0,10,8,0,1,0.8
2,17,0,0,10,7,0,0,0.7
2,17,0,0,10,8,0,1,0.8
2,18,0,0,10,7,0,0,0.7
2,18,0,0,10,7,0,1,0.7
2,19,0,0,10,7,0,0,0.7
2,19,0,0,10,5,0,1,0.5
2,20,0,0,10,8,0,0,0.8
2,20,0,0,10,8,0,1,0.8
2,21,0,0,10,10,0,0,1
2,21,0,0,10,10,0,1,1
2,22,0,0,10,8,0,0,0.8
2,22,0,0,10,10,0,1,1
